pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1320    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
     1170    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
     1930    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1301    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      195    0.000    0.000    0.000    0.000 sprite.py:395(add_internal)
       76    0.000    0.000    0.033    0.000 sre_compile.py:783(compile)
       76    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
       31    0.000    0.000    0.003    0.000 shot.py:6(__init__)
      908    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      119    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
      129    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      514    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
       16    0.000    0.000    0.002    0.000 __init__.py:2066(<genexpr>)
     2273    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       12    0.000    0.000    0.001    0.000 asteroid.py:19(split)
       33    0.000    0.000    0.002    0.000 asteroid.py:8(__init__)
       12    0.000    0.000    0.000    0.000 score.py:19(notify_observers)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1929    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       26    0.000    0.000    0.001    0.000 traceback.py:338(extract)
     2565    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       83    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      523    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       76    0.000    0.000    0.022    0.000 sre_parse.py:944(parse)
      373    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
  133/123    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       84    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      142    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
       62    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
     1044    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       19    0.000    0.000    0.002    0.000 asteroidfield.py:35(spawn)
       83    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       24    0.000    0.000    0.000    0.000 sprite.py:185(kill)
        1    0.000    0.000    0.014    0.014 pyparsing.py:1(<module>)
      590    0.000    0.000    0.001    0.000 __init__.py:2058(<genexpr>)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      223    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
      193    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
     83/7    0.000    0.000    0.099    0.014 <frozen importlib._bootstrap_external>:877(exec_module)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      226    0.000    0.000    0.000    0.000 asteroid.py:35(scoreupdated)
       48    0.000    0.000    0.000    0.000 version.py:261(__init__)
       19    0.000    0.000    0.000    0.000 random.py:375(choice)
       45    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
      145    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      158    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      703    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        8    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      746    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      514    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
     1784    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      227    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       57    0.000    0.000    0.001    0.000 random.py:366(randint)
       76    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      471    0.000    0.000    0.000    0.000 copyreg.py:100(__newobj__)
    99/74    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      395    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     84/1    0.000    0.000   16.212   16.212 {built-in method builtins.exec}
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3363(copy)
      405    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      195    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      337    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
    189/7    0.000    0.000    0.098    0.014 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       26    0.000    0.000    0.000    0.000 random.py:546(uniform)
       76    0.000    0.000    0.010    0.000 sre_compile.py:622(_code)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
       72    0.000    0.000    0.000    0.000 sprite.py:408(remove_internal)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      176    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       59    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      395    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
      453    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       63    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      794    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      125    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      794    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
    61/11    0.000    0.000    0.002    0.000 pyparsing.py:3288(leaveWhitespace)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
       76    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
  155/144    0.000    0.000    0.002    0.000 typing.py:306(inner)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      510    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1042    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       45    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
        8    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       57    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       27    0.000    0.000    0.001    0.000 typing.py:483(Union)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
       26    0.000    0.000    0.011    0.000 pyparsing.py:2779(__init__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       76    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      168    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       55    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
      119    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      206    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      509    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      192    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
      658    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      104    0.000    0.000    0.001    0.000 traceback.py:301(line)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       76    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      287    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     10/7    0.000    0.000    0.000    0.000 posixpath.py:401(_joinrealpath)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.001    0.001 markers.py:1(<module>)
      145    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
       12    0.000    0.000    0.000    0.000 score.py:23(increase_score)
      114    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.026    0.026 requirements.py:1(<module>)
       26    0.000    0.000    0.001    0.000 traceback.py:216(extract_stack)
    30/28    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
      563    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      119    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       49    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
      152    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      265    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       24    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       27    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
      233    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       30    0.000    0.000    0.000    0.000 version.py:444(_cmpkey)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      103    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      119    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      559    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       17    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
       76    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
