pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000   16.212   16.212 main.py:1(<module>)
        4    0.000    0.000    0.000    0.000 asteroidfield.py:11(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:2132(distributions_from_metadata)
       37    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 platform.py:1(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
       78    0.000    0.000    0.000    0.000 traceback.py:259(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       12    0.000    0.000    0.004    0.000 __init__.py:601(add_entry)
       26    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
       91    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      175    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       10    0.000    0.000    0.002    0.000 {built-in method builtins.sorted}
        8    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       17    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
       83    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:523(Optional)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
     10/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       22    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 asteroidfield.py:25(<lambda>)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      197    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       36    0.000    0.000    0.000    0.000 types.py:176(__get__)
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
    38/27    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      101    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
        6    0.000    0.000    0.000    0.000 cursors.py:57(__init__)
        5    0.000    0.000    0.000    0.000 ntpath.py:87(isabs)
       84    0.000    0.000    0.000    0.000 version.py:271(<genexpr>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
      117    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       12    0.000    0.000    0.003    0.000 pyparsing.py:4251(__init__)
      106    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:344(get_provider)
        6    0.000    0.000    0.000    0.000 version.py:293(__str__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        7    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        9    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
       18    0.000    0.000    0.000    0.000 __init__.py:2650(key)
       22    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
        1    0.000    0.000    0.000    0.000 _manylinux.py:1(<module>)
       18    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        8    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
       30    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      110    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       29    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
        8    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
       12    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       22    0.000    0.000    0.000    0.000 __init__.py:1569(_parents)
        5    0.000    0.000    0.000    0.000 __init__.py:1483(_validate_resource_path)
       30    0.000    0.000    0.000    0.000 __init__.py:2381(_is_unpacked_egg)
        6    0.000    0.000    0.000    0.000 __init__.py:675(add)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1477(_fn)
       26    0.000    0.000    0.000    0.000 traceback.py:288(__getitem__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sysfont.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
       20    0.000    0.000    0.000    0.000 __init__.py:2373(_is_zip_egg)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
       90    0.000    0.000    0.000    0.000 version.py:393(_parse_letter_version)
       28    0.000    0.000    0.000    0.000 __init__.py:2358(_normalize_cached)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        1    0.000    0.000    0.004    0.004 __init__.py:3266(_initialize_master_working_set)
        1    0.000    0.000    0.002    0.002 version.py:257(Version)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       41    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:2578(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1208(__getitem_inner__)
       20    0.000    0.000    0.000    0.000 __init__.py:2366(_is_egg_path)
       12    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       78    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
        8    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       19    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
       51    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(Popen)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        7    0.000    0.000    0.000    0.000 posixpath.py:392(realpath)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
        5    0.000    0.000    0.000    0.000 ntpath.py:150(splitdrive)
        1    0.000    0.000    0.000    0.000 __init__.py:2574(Distribution)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2431(parseImpl)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        6    0.000    0.000    0.000    0.000 __init__.py:2341(normalize_path)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:1587(_setup_prefix)
        2    0.000    0.000    0.000    0.000 __init__.py:1382(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1317(safe_version)
        2    0.000    0.000    0.000    0.000 typing.py:2267(__new__)
        1    0.000    0.000    0.000    0.000 specifiers.py:97(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 typing.py:1323(__class_getitem__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
       51    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.010    0.010 parser.py:1(<module>)
       11    0.000    0.000    0.000    0.000 os.py:755(encode)
       30    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:2035(_by_version)
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        6    0.000    0.000    0.000    0.000 __init__.py:2041(<listcomp>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1194(__getitem__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd7db57f400}
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.007    0.007 specifiers.py:317(Specifier)
        1    0.000    0.000    0.000    0.000 fastevent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
       94    0.000    0.000    0.000    0.000 pyparsing.py:4890(<genexpr>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pkgutil.py:407(get_importer)
       41    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
        4    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
        1    0.000    0.000    0.000    0.000 subprocess.py:648(_use_posix_spawn)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3945(__str__)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
       10    0.000    0.000    0.002    0.000 __init__.py:2011(_by_version_descending)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
        7    0.000    0.000    0.000    0.000 specifiers.py:305(_require_version_compare)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2963(__str__)
       29    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:3250(<genexpr>)
        7    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        2    0.000    0.000    0.000    0.000 __init__.py:56(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:559(_build_master)
       38    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 specifiers.py:39(BaseSpecifier)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
        2    0.000    0.000    0.000    0.000 __init__.py:1583(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
       35    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.016    0.005 __init__.py:29(load_module)
       16    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.077    0.077 pkgdata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        2    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
        2    0.000    0.000    0.000    0.000 version.py:42(__new__)
        1    0.000    0.000    0.000    0.000 specifiers.py:638(SpecifierSet)
       51    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 player.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4825(tokenMap)
        1    0.000    0.000    0.000    0.000 freetype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
        3    0.000    0.000    0.002    0.001 pyparsing.py:1608(parseString)
        1    0.000    0.000    0.000    0.000 zipfile.py:1194(ZipFile)
        8    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:2880(insert_on)
        7    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4763(srange)
        1    0.000    0.000    0.000    0.000 sysconfig.py:712(get_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:543(WorkingSet)
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        5    0.000    0.000    0.000    0.000 pyparsing.py:668(<listcomp>)
        1    0.000    0.000    0.000    0.000 sprite.py:729(LayeredUpdates)
       21    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        8    0.000    0.000    0.000    0.000 pyparsing.py:3508(__str__)
        2    0.000    0.000    0.000    0.000 datetime.py:1239(__new__)
        4    0.000    0.000    0.000    0.000 functools.py:844(register)
        4    0.000    0.000    0.000    0.000 typing.py:664(__init__)
       24    0.000    0.000    0.000    0.000 version.py:81(__eq__)
        1    0.000    0.000    0.000    0.000 pkgdata.py:45(getResource)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        6    0.000    0.000    0.000    0.000 re.py:202(sub)
        1    0.000    0.000    0.000    0.000 sprite.py:1062(LayeredDirty)
        1    0.000    0.000    0.000    0.000 __init__.py:2429(EntryPoint)
        3    0.000    0.000    0.000    0.000 pyparsing.py:755(copy)
        1    0.000    0.000    0.000    0.000 appdirs.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
        1    0.000    0.000    0.000    0.000 asteroid.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        1    0.000    0.000    0.000    0.000 pyparsing.py:324(ParseResults)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
        2    0.000    0.000    0.000    0.000 typing.py:2247(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        4    0.000    0.000    0.000    0.000 sprite.py:662(__init__)
        1    0.000    0.000    0.000    0.000 surfarray.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:3158(_always_object)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
       41    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 specifiers.py:245(LegacySpecifier)
        3    0.000    0.000    0.000    0.000 __init__.py:2789(activate)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:368(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:99(Sprite)
       30    0.000    0.000    0.000    0.000 cursors.py:90(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:433(__delitem__)
       38    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        1    0.000    0.000    0.000    0.000 asteroidfield.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(resource_exists)
       36    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
       24    0.000    0.000    0.000    0.000 version.py:301(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        4    0.000    0.000    0.000    0.000 __init__.py:127(_declare_state)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2991(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
        1    0.000    0.000    0.000    0.000 shot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3841(__str__)
       65    0.000    0.000    0.000    0.000 pyparsing.py:1366(postParse)
        1    0.000    0.000    0.000    0.000 __init__.py:1697(ZipProvider)
        1    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:2825(__getattr__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1567(resetCache)
        1    0.000    0.000    0.000    0.000 parse.py:155(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 threading.py:986(_set_tstate_lock)
       20    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       14    0.000    0.000    0.000    0.000 inspect.py:606(getmro)
        3    0.000    0.000    0.000    0.000 __init__.py:2778(_get_metadata)
       28    0.000    0.000    0.000    0.000 pyparsing.py:458(__bool__)
        1    0.000    0.000    0.000    0.000 version.py:106(LegacyVersion)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _structures.py:6(InfinityType)
       38    0.000    0.000    0.000    0.000 version.py:459(<lambda>)
       21    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
        1    0.000    0.000    0.000    0.000 posixpath.py:229(expanduser)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
       10    0.000    0.000    0.000    0.000 __init__.py:2116(safe_listdir)
        1    0.000    0.000    0.000    0.000 __init__.py:1375(NullProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(ResourceManager)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        5    0.000    0.000    0.000    0.000 re.py:269(escape)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 pathlib.py:128(<setcomp>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       15    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
       33    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        8    0.000    0.000    0.000    0.000 enum.py:451(__members__)
        3    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       33    0.000    0.000    0.000    0.000 pyparsing.py:317(__getitem__)
        6    0.000    0.000    0.000    0.000 signal.py:49(decorator)
        1    0.000    0.000    0.000    0.000 sndarray.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
       15    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method pygame.base.get_sdl_version}
        3    0.000    0.000    0.000    0.000 weakref.py:496(popitem)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
     10/4    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 __init__.py:1603(_has)
       13    0.000    0.000    0.000    0.000 typing.py:1217(<genexpr>)
       11    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
        3    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        1    0.000    0.000    0.000    0.000 subprocess.py:425(CompletedProcess)
        3    0.000    0.000    0.000    0.000 __init__.py:2906(<listcomp>)
       30    0.000    0.000    0.000    0.000 version.py:432(_parse_local_version)
        1    0.000    0.000    0.000    0.000 platform.py:767(uname_result)
        1    0.000    0.000    0.002    0.002 __init__.py:546(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
        1    0.000    0.000    0.000    0.000 threading.py:224(Condition)
        2    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        4    0.000    0.000    0.000    0.000 __init__.py:3292(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 sprite.py:262(DirtySprite)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3061(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:960(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 asteroidfield.py:7(AsteroidField)
        1    0.000    0.000    0.000    0.000 threading.py:622(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:800(_maintain_shutdown_locks)
       12    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:2269(Path)
        1    0.000    0.000    0.000    0.000 score.py:5(__new__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 queue.py:242(LifoQueue)
        1    0.000    0.000    0.000    0.000 sprite.py:363(AbstractGroup)
        1    0.000    0.000    0.000    0.000 pyparsing.py:205(ParseBaseException)
        6    0.000    0.000    0.000    0.000 __init__.py:1309(safe_name)
        1    0.000    0.000    0.000    0.000 version.py:35(SoftwareVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:377(get_build_platform)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 platform.py:729(_Processor)
        1    0.000    0.000    0.000    0.000 __init__.py:863(Handler)
        2    0.000    0.000    0.000    0.000 datetime.py:792(__new__)
       13    0.000    0.000    0.000    0.000 pyparsing.py:506(haskeys)
        1    0.000    0.000    0.000    0.000 header.py:413(_ValueFormatter)
        1    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3032(__str__)
        1    0.000    0.000    0.000    0.000 plistlib.py:173(_PlistParser)
        1    0.000    0.000    0.000    0.000 socket.py:662(SocketIO)
        1    0.000    0.000    0.000    0.000 __init__.py:950(Environment)
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        3    0.000    0.000    0.000    0.000 abc.py:110(register)
       27    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:291(SelectSelector)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3513(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:3106(Requirement)
        1    0.000    0.000    0.000    0.000 threading.py:103(_RLock)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        2    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1395(has_resource)
        1    0.000    0.000    0.000    0.000 _manylinux.py:15(_ELFFileHeader)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3465(parseImpl)
        3    0.000    0.000    0.000    0.000 __init__.py:1401(has_metadata)
        3    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        1    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       12    0.000    0.000    0.000    0.000 pyparsing.py:315(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:1400(GroupSingle)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(resource_stream)
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
        2    0.000    0.000    0.000    0.000 tokenize.py:327(find_cookie)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
       13    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        4    0.000    0.000    0.000    0.000 functools.py:841(_is_valid_dispatch_type)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
